ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
BEL7MF;A320;LEBL;EBBR;OOTCH;340;10:45:00;10;12:30:00;1:45:00;1:20:00;D;173;BEL;ECAC;441.6;227.2;1090.56
IBE2630;A332;KMIA;LEBL;ECOHY;400;1:55:00;10;10:45:00;8:50:00;8:25:00;B;281;IBE;Non-ECAC;478.9;246.4;7465.92
EJU48YF;A319;LEBL;EDDB;OELKC;360;10:44:00;21;12:55:00;2:11:00;1:35:00;D;144;EJU;ECAC;454.1;233.6;1331.52
IBE04YZ;A321;LEMD;LEBL;ECJDM;260;9:57:00;15;10:45:00;0:48:00;0:18:00;D;207;IBE;ECAC;391.9;201.6;217.73
RYR5293;B738;LEBL;LICJ;9HQBM;370;10:44:00;20;12:10:00;1:26:00;0:51:00;D;184;RYR;ECAC;460.3;236.8;724.61
VLG141P;A320;LEIB;LEBL;ECMBE;180;10:06:00;7;10:50:00;0:44:00;0:22:00;D;173;VLG;ECAC;342.2;176;232.32
VLG71PG;A320;EGKK;LEBL;ECMES;350;8:29:00;19;10:50:00;2:21:00;1:47:00;D;173;VLG;ECAC;447.8;230.4;1479.17
VLG8BL;A320;LEBL;LEJR;ECJTQ;350;10:35:00;10;12:00:00;1:25:00;1:00:00;D;173;VLG;ECAC;447.8;230.4;829.44
N412JK;GA5C;LEBL;KTEB;N412JK;450;10:42:00;20;18:00:00;7:18:00;6:43:00;E;14;N41;ECAC;510;262.4;6344.83
VLG55UB;A21N;EDDM;LEBL;ECNYE;350;9:23:00;13;10:50:00;1:27:00;0:59:00;D;230;VLG;ECAC;447.8;230.4;815.62
IBE26MK;A339;KJFK;LEBL;CSTKH;400;4:10:00;30;10:50:00;6:40:00;5:55:00;B;280;IBE;Non-ECAC;478.9;246.4;5248.32
VLG16CP;A321;LEBL;LIPZ;ECMHA;340;10:45:00;10;12:25:00;1:40:00;1:15:00;D;207;VLG;ECAC;441.6;227.2;1022.4
VLG93YP;A321;LEBL;LFRS;ECNLX;340;10:50:00;10;11:55:00;1:05:00;0:40:00;D;207;VLG;ECAC;441.6;227.2;545.28
WJA67;B38M;LEBL;CYHZ;CGEHF;360;10:52:00;17;17:20:00;6:28:00;5:56:00;D;170;WJA;ECAC;454.1;233.6;4989.7
RYR29LL;B738;EPGD;LEBL;EIDPI;380;8:23:00;14;10:55:00;2:32:00;2:03:00;D;184;RYR;ECAC;466.5;240;1771.2
DLH76E;A20N;EDDF;LEBL;DAINJ;390;9:16:00;16;10:55:00;1:39:00;1:08:00;D;174;DLH;ECAC;472.7;243.2;992.26
VLG46TQ;A320;LEBL;EGKK;ECOKH;340;10:58:00;12;12:40:00;1:42:00;1:15:00;D;173;VLG;ECAC;441.6;227.2;1022.4
VLG8ZX;A320;LEBL;LEBB;ECJYX;290;10:51:00;11;11:45:00;0:54:00;0:28:00;D;173;VLG;ECAC;410.5;211.2;354.82
TSC260;A21N;CYUL;LEBL;CGOKG;360;3:55:00;10;11:00:00;7:05:00;6:40:00;D;230;TSC;Non-ECAC;454.1;233.6;5606.4
VLG2DY;A320;LPPT;LEBL;ECOJH;380;9:01:00;15;11:00:00;1:59:00;1:29:00;D;173;VLG;ECAC;466.5;240;1281.6
VLG7BQ;A321;LGAV;LEBL;ECNLV;340;8:16:00;11;11:00:00;2:44:00;2:18:00;D;207;VLG;ECAC;441.6;227.2;1881.22
TVF38NC;A20N;LEBL;LFPO;FHXSB;360;10:55:00;20;12:15:00;1:20:00;0:45:00;D;174;TVF;ECAC;454.1;233.6;630.72
QQE256;GLF6;LEBL;KTEB;A7CGG;470;10:56:00;20;18:10:00;7:14:00;6:39:00;E;15;QQE;ECAC;NOT FOUND;NOT FOUND;#¡VALOR!
KAC135;A338;OKKK;LEBL;9KAPF;400;5:05:00;10;11:00:00;5:55:00;5:30:00;B;260;KAC;Non-ECAC;478.9;246.4;4878.72
VLG3070;A320;LEBL;LTFM;ECMCU;370;11:03:00;13;14:05:00;3:02:00;2:34:00;D;173;VLG;ECAC;460.3;236.8;2188.03
DLH62A;A321;LEBL;EDDF;DAISV;340;11:00:00;10;12:50:00;1:50:00;1:25:00;D;207;DLH;ECAC;441.6;227.2;1158.72
VLG87JF;A321;EIDW;LEBL;ECMGY;350;8:55:00;2;11:05:00;2:10:00;1:53:00;D;207;VLG;ECAC;447.8;230.4;1562.11
RYR7MW;B738;GMTT;LEBL;EIENG;380;9:50:00;15;11:05:00;1:15:00;0:45:00;D;184;RYR;Non-ECAC;466.5;240;648
EXS65BM;B738;LEBL;EGCC;GJZHX;380;11:00:00;20;13:05:00;2:05:00;1:30:00;D;184;EXS;ECAC;466.5;240;1296
VLG7HU;A321;LEBL;LFPO;ECMPV;340;11:05:00;10;12:20:00;1:15:00;0:50:00;D;207;VLG;ECAC;441.6;227.2;681.6
VLG1QC;A320;LEBL;LEMH;ECMAN;190;11:06:00;11;11:40:00;0:34:00;0:08:00;D;173;VLG;ECAC;348.4;179.2;86.02
CCA578;A359;LEBL;ZSPD;B1085;390;11:10:00;20;22:30:00;11:20:00;10:45:00;B;297;CCA;ECAC;472.7;243.2;9411.84
VLG93NJ;A320;LKPR;LEBL;ECLVO;370;9:16:00;17;11:10:00;1:54:00;1:22:00;D;173;VLG;ECAC;460.3;236.8;1165.06
VLG6109;A320;LIRF;LEBL;ECMFN;340;10:01:00;16;11:10:00;1:09:00;0:38:00;D;173;VLG;ECAC;441.6;227.2;518.02
RZO506;A20N;LPPD;LEBL;CSTSK;390;7:59:00;9;11:10:00;3:11:00;2:47:00;D;174;RZO;ECAC;472.7;243.2;2436.86
VLG996B;A320;GCLP;LEBL;ECLAB;380;8:22:00;14;11:15:00;2:53:00;2:24:00;D;173;VLG;ECAC;466.5;240;2073.6
WMT7875;A21N;LEBL;LIMC;9HWNI;340;11:15:00;20;12:25:00;1:10:00;0:35:00;D;230;WMT;ECAC;441.6;227.2;477.12
VLG52VQ;A20N;LEBL;EHAM;ECNCS;360;11:19:00;10;13:00:00;1:41:00;1:16:00;D;174;VLG;ECAC;454.1;233.6;1065.22
RYR58FA;B738;LEBL;EBCI;EIDCJ;340;11:20:00;20;12:55:00;1:35:00;1:00:00;D;184;RYR;ECAC;441.6;227.2;817.92
BAW474K;A20N;EGLL;LEBL;GTTNT;350;9:49:00;23;11:15:00;1:26:00;0:48:00;D;174;BAW;ECAC;447.8;230.4;663.55
THY8XM;A321;LTFM;LEBL;TCJSC;360;8:26:00;20;11:20:00;2:54:00;2:19:00;D;207;THY;ECAC;454.1;233.6;1948.22
VLG7UA;A320;EGLL;LEBL;ECODM;350;9:11:00;27;11:20:00;2:09:00;1:27:00;D;173;VLG;ECAC;447.8;230.4;1202.69
VLG56XU;A320;LEBL;LEMH;ECMVO;190;11:06:00;16;11:50:00;0:44:00;0:13:00;D;173;VLG;ECAC;348.4;179.2;139.78
AAL67;B772;LEBL;KJFK;N795AN;380;11:26:00;17;18:35:00;7:09:00;6:37:00;B;296;AAL;ECAC;466.5;240;5716.8
BAW485G;A319;LEBL;EGLL;GEUOE;340;11:02:00;12;13:05:00;2:03:00;1:36:00;D;144;BAW;ECAC;441.6;227.2;1308.67
VLG985G;A321;EDDH;LEBL;ECMLM;350;9:30:00;10;11:25:00;1:55:00;1:30:00;D;207;VLG;ECAC;447.8;230.4;1244.16
CSDJI;E50P;LEBL;LEPA;CSDJI;190;11:20:00;20;11:55:00;0:35:00;0:00:00;F;5;CSD;ECAC;348.4;179.2;0
CPA318;A359;LEBL;VHHH;BLRC;410;11:25:00;21;22:35:00;11:10:00;10:34:00;B;297;CPA;ECAC;485.1;249.6;9494.78
ACA821;B77W;LEBL;CYYZ;CFIUL;360;11:34:00;16;19:00:00;7:26:00;6:55:00;B;331;ACA;ECAC;454.1;233.6;5816.64
BTI9TZ;BCS3;EVRA;LEBL;YLABX;380;8:19:00;10;11:30:00;3:11:00;2:46:00;D;150;BTI;ECAC;466.5;240;2390.4
SXS6E;B38M;LTBJ;LEBL;TCSMN;380;8:43:00;10;11:30:00;2:47:00;2:22:00;D;170;SXS;ECAC;466.5;240;2044.8
VLG98ZH;A320;LFPO;LEBL;ECMAO;390;10:13:00;11;11:30:00;1:17:00;0:51:00;D;173;VLG;ECAC;472.7;243.2;744.19
VLG6QM;A320;LEBL;LEIB;ECMYB;190;11:25:00;10;12:10:00;0:45:00;0:20:00;D;173;VLG;ECAC;348.4;179.2;215.04
TRA73A;B738;EHRD;LEBL;PHHXB;390;9:50:00;10;11:35:00;1:45:00;1:20:00;D;184;TRA;ECAC;472.7;243.2;1167.36
